   MORTALITY PRECIP EDUC NONWHITE POOR NOX SO2
1    921.870     36 11.4      8.8 11.7  15  59
2    997.875     35 11.0      3.5 14.4  10  39
3    962.354     44  9.8      0.8 12.4   6  33
4    982.291     47 11.1     27.1 20.6   8  24
5   1071.289     43  9.6     24.4 14.3  38 206
6   1030.380     53 10.2     38.5 25.5  32  72
7    934.700     43 12.1      3.5 11.3  32  62
8    899.529     45 10.6      5.3 10.5   4   4
9   1001.902     36 10.5      8.1 12.6  12  37
10   912.347     36 10.7      6.7 13.2   7  20
11  1017.613     52  9.6     22.2 24.2   8  27
12  1024.885     33 10.9     16.3 10.7  63 278
13   970.467     40 10.2     13.0 15.1  26 146
14   985.950     35 11.1     14.7 11.4  21  64
15   958.839     37 11.9     13.1 13.9   9  15
16   860.101     35 11.8     14.8 16.1   1   1
17   936.234     36 11.4     12.4 12.0   4  16
18   871.766     15 12.2      4.7 12.7   8  28
19   959.221     31 10.8     15.8 13.6  35 124
20   941.181     30 10.8     13.1 12.4   4  11
21   891.708     31 11.4     11.5 18.5   1   1
22   871.338     31 10.9      5.1 12.3   3  10
23   971.122     42 10.4     22.7 19.5   3   5
24   887.466     43 11.5      7.2  9.5   3  10
25   952.529     46 11.4     21.0 17.9   5   1
26   968.665     39 11.4     15.6 13.2   7  33
27   919.729     35 12.0     12.6 13.9   4   4
28   844.053     43  9.5      2.9 12.0   7  32
29   861.833     11 12.1      7.8 12.3 319 130
30   989.265     30  9.9     13.1 17.7  37 193
31  1006.490     50 10.4     36.7 26.4  18  34
32   861.439     60 11.5     13.5 22.4   1   1
33   929.150     30 11.1      5.8  9.4  23 125
34   857.622     25 12.1      2.0  9.8  11  26
35   961.009     45 10.1     21.0 24.1  14  78
36   923.234     46 11.3      8.8 12.2   3   8
37  1113.056     54  9.7     31.4 24.2  17   1
38   994.648     42 10.7     11.3 12.4  26 108
39  1015.023     42 10.5     17.5 13.2  32 161
40   991.290     36 10.6      8.1 13.8  59 263
41   893.991     37 12.0      3.6 13.5  21  44
42   938.500     42 10.1      2.2 15.7   4  18
43   946.185     41  9.6      2.7 14.1  11  89
44  1025.502     44 11.0     28.6 17.5   9  48
45   874.281     32 11.1      5.0 10.8   4  18
46   953.560     34  9.7     17.2 15.3  15  68
47   839.709     10 12.1      5.9 14.0  66  20
48   911.701     18 12.2     13.7 12.0 171  86
49   790.733     13 12.2      3.0  9.7  32   3
50   899.264     35 12.2      5.7 10.1   7  20
51   904.155     45 11.1      3.4 12.3   4  20
52   950.672     38 11.4      3.8 11.1   5  25
53   972.464     31 10.7      9.5 13.6   7  25
54   912.202     40 10.3      2.5 13.5   2  11
55   967.803     41 12.3     25.9 10.3  28 102
56   823.764     28 12.1      7.5 13.2   2   1
57  1003.502     45 11.3     12.1 10.9  11  42
58   895.696     45 11.1      1.0 14.0   3   8
59   911.817     42  9.0      4.8 14.5   8  49
60   954.442     38 10.7     11.7 13.0  13  39
